Ⲛⲟ	Coptic Word	Deriv.	Alt.  Spellings	F.  (n. & adj.)	Pl.	(Status  nom.)	(Status pronom.)	Qual.	Gramm. Info.	Notes	Prepositions used	English	Example Sentence	
186		ϫⲓ-ⲃⲉⲕⲉ, ϫⲓ ⲙ ⲡⲃⲉⲕⲉ							vb.			to receive wages		
187		ϫⲓ ⲉ ⲃⲉⲕⲉ							vb.			to hire (ⲙⲙⲟ-)		
188		ϫⲁⲓ-ⲃⲉⲕⲉ							n. m.			hireling		
189		ⲥⲙⲛ-ⲃⲉⲕⲉ							vb.			to fix wages		
190		ⲣⲙⲃⲉⲕⲉ, ⲣⲙⲙⲃⲉⲕⲉ							n. m.			hireling		
191	ⲃⲉⲛⲓⲡⲉ		ⲃⲓⲛⲓⲃⲉ, ⲡⲉⲛⲓⲡⲉ, ⲃⲁⲛⲓⲡⲉ, ⲡⲁⲛⲓⲡ						n. m.			iron; also fig. of fetters, sword		
192		ϯ-ⲃⲉⲛⲓⲡⲉ							vb.			to put in irons, to fetter (e)		
193	ⲃⲉⲣⲱ								n. f.			whirlpool		
194	ⲃⲉⲥⲛⲏⲧ		ⲃⲉⲥⲛⲁⲧ		ⲃⲉⲥⲛⲁⲧⲉ				n. m.			smith		
195		ⲙⲛⲧⲃⲉⲥⲛⲏⲧ							n. f. 			the work or craft of a smith		
196	ⲃⲏ								n. f.			grave		
197	ⲃⲏⲃ		ⲃⲏⲃⲉ						n. m.			cave, hole, den, nest (of animals)		
198	ⲃⲏⲕⲉ								n. m.			woof (of loom)		
199	ⲃⲏⲛⲉ		ⲃⲏⲛⲛⲉ						n. f.			swallow (bird)		
200		ϫⲁϫ-ⲃⲏⲛⲉ							n. m.			swallow-sparrow		
201	ⲃⲏⲥⲉ								n. f.			bucket, pail		
202	ⲃⲏⲧ								n. m.			palm-leaf		
203	ⲃⲏⲧ-ⲥⲡⲓⲣ								n. f.			rib		
204	ⲃⲏϭ		ⲃⲉϭ, ⲃϭ						n. m.			falcon		
205	ⲃⲓⲣ				ⲃⲣⲏⲟⲩⲉ				n. m.			basket (of palm-leaf)		
206	ⲃⲓⲣⲉ		ⲃⲁⲓⲣⲉ						n. f.			basket (of palm-leaf)		
207	ⲃⲗⲃⲓⲗⲉ								n. f.			a single grain (of grain, mustard, sand); a single piece (of fruit, etc.)		
208	ⲃⲗⲗⲉ			ⲃⲗⲗⲏ	ⲃⲗⲗⲉⲉⲩ, ⲃⲗⲗⲉⲉⲩⲉ				adj.			blind		
209	ⲃⲗⲗⲉ			ⲃⲗⲗⲏ	ⲃⲗⲗⲉⲉⲩ, ⲃⲗⲗⲉⲉⲩⲉ				n.			a blind person		
210		ⲙⲛⲧⲃⲗⲗⲉ							n. f. 			blindness		
211		ⲣ-ⲃⲗⲗⲉ						ⲟ ⲛ ⲃⲗⲗⲉ	cpd. vb. 2			to become blind, to make blind		
212	ⲃⲗϩⲙⲟⲩ		ⲃⲗⲉϩⲙⲟⲩ, ⲃⲉⲗⲉϩⲙⲟⲟⲩⲉ, ⲃⲁⲗⲉϩⲙⲟⲩ		ⲃⲗϩⲙⲟⲟⲩⲉ				n.			name of a people, usu. Located on east bank of Nile in Nubia.		
213	ⲃⲗϫⲉ		ⲃⲗⲗϫⲉ						n. m. f.			pottery, earthenware		
214		ⲣ-ⲃⲗϫⲉ							vb.			to be made of clay		
215	ⲃⲛⲛⲉ								n. f.			date-palm, date(s)		
216		ⲃⲛ-ⲣⲁⲩⲛⲉ							n.			virgin palm		
217		ⲃⲛ-ϣϣⲟⲩⲉ							n.			dried dates		
218		ⲃⲁ ⲛ ⲃⲛⲛⲉ							n.			palm-branch		
219		ⲃⲁⲗ ⲛ ⲃⲛⲛⲉ							n.			date-stone		
220		ⲉⲃⲓⲱ ⲛ ⲃⲛⲛⲉ							n.			date-honey		
221		ⲕⲁϥ ⲛ ⲃⲛⲛⲉ							n.			stem, trunk of palm		
222		ⲗⲟⲟⲩ ⲛ ⲃⲛⲛⲉ							n.			cluster of dates		
223		ⲥⲁ ⲛ ⲃⲛⲛⲉ							n. m.			date-seller		
224		ⲥⲣ-ⲃⲛⲛⲉ							n.			date-palm thorn		
225		ⲧⲁϭ ⲛ ⲃⲛⲛⲉ							n.			date cake		
226		ϣⲛ-ⲃⲛⲛⲉ	ϣⲉ-ⲃⲛⲛⲉ, ϣⲃ-ⲃⲛⲛⲉ, ⲥⲟⲩⲛ-ⲃⲛⲛⲉ						n.			palm-fiber		
227	ⲃⲟⲓⲛⲉ								n. 			harp or sim. musical instrument		
228	ⲃⲟⲗⲃⲗ						ⲃⲗⲃⲱⲗ=		vb. tr.			to dig, dig up, dig out (ⲙⲙⲟ=); to burrow, delve		
229	ⲃⲟⲗⲃⲗ						ⲃⲗⲃⲱⲗ=		vb. Intr.			to be undermined		
230		ⲃⲟⲗⲃⲗ ⲉⲃⲟⲗ							vb. Tr.			to undo, take apart		
231		ⲃⲟⲗⲃⲗ ⲉⲃⲟⲗ							intr.			to be dug up, out		
232	ⲃⲟⲛⲧⲉ		ⲃⲁⲛⲧⲉ (ⲃⲛⲧ-)						n. f.			gourd, cucumber; gourd-garden (?)		
233		ⲥⲁⲣⲃⲟⲛⲧⲉ							n. m.			gourd-seller		
234		ⲃⲛⲧ-ⲛ-ⲉϭⲗⲟϭ							n.			pumpkin		
235	ⲃⲟⲥⲧ								Q			to be dry, parched		
236	ⲃⲟⲩⲃⲟⲩ								vb. Intr.			to shine, glitter		
237	ⲃⲟⲩⲃⲟⲩ								n. m.			shine, glitter		
238	ⲃⲟⲩϩⲉ		ⲃⲱϩⲉ						n. m.			eyelid		
239	ⲃⲣⲃⲣ								vb. Intr.			to boil		
240	ⲃⲣⲃⲣ								n. m.			boiling		
241		ⲃⲣⲃⲣ ⲉϩⲣⲁⲓ ⲙⲙⲟ=							vb.			to boil up with, cast up		
242	ⲃⲣⲉϣⲏⲩ		ⲃⲉⲣⲉϣⲏⲩ, ⲃⲣϣⲏⲩ						n. m.			coriander seed		
243	ⲃⲣⲣⲉ		ⲃⲏⲣⲉ						adj.			new, young		
244		ⲙⲛⲧⲃⲣⲣⲉ							n. f. 			youth, newness		
245		ⲛ ⲃⲣⲣⲉ							adv.			anew, recently		
246		ⲣ-ⲃⲣⲣⲉ							cpd. vb. 2			to renew; to become new		
247	ⲃⲣϭⲟⲟⲩⲧ		ⲃⲉⲣⲉϭⲱⲟⲩⲧ						n. f.			chariot		
248	ⲃⲱ								n. f.	when fruit is specified; otherwise use ϣⲏⲛ		tree 		
249	ⲃⲱⲕ							ⲃⲏⲕ	vb. Intr.	Used with most prep. And directional adv. In regular senses		to go, depart; to die; to be about to (+ e + Inf.).		
250		ⲃⲱⲕ ⲉⲣⲁⲧ=							vb.			to visit		
251		ⲃⲱⲕ ϩⲓ							vb.			to undergo (as well as "to go upon")		
252	ⲃⲱⲕⲉ								vb. Tr.		ⲙⲙⲟ/	to tan (leather)		
253	ⲃⲁⲕ-ϣⲁⲁⲡ								n. m.			tanner		
254	ⲃⲱⲗ					ⲃⲉⲗ-	ⲃⲟⲗ=	ⲃⲏⲗ	vb. Tr.			(+/- ⲉⲃⲟⲗ except when indicated) to loosen, to untie, to unfasten (ⲙⲙⲟ=) (not + ⲉⲃⲟⲗ) to explain, interpret; to weaken, enfeeble; to nullify; to dissolve		
255	ⲃⲱⲗ		ⲃⲉⲗ-, ⲃⲟⲗ=					ⲃⲏⲗ	vb. Intr.			to be(come) loosened, undone, loose, scattered, melted, dissolved, weakened, paralysed, faint; to become dissolute; to be terminated, to die, perish		
256	ⲃⲱⲗ		ⲃⲉⲗ-, ⲃⲟⲗ=						n. m. 			solution, interpretation (not + ⲉⲃⲟⲗ); weakening, slackening; laxness, unrestraint; dissolution, destruction		
257	ⲃⲱⲗ								vb.			to come to terms with		
258		ⲁⲧⲃⲱⲗ ⲉⲃⲟⲗ							adj.			indessoluble, unending		
259		ⲣⲉϥⲃⲱⲗ							n. / adj.			interpreter		
260	ⲃⲟⲗ								n. m.			the outside		
261		ⲡⲃⲟⲗ, ⲙ ⲡⲃⲟⲗ							prep.			on or to the outside of, outside; independent of, beyond, free from; contrary to		
262		ⲉⲃⲟⲗ							adv.			out, outward away; usu. With verbs, but occasionally after prep. Phrases with sense: onward, and so on, henceforth; for ⲉⲃⲟⲗ + prep. See sub prep.		
263		ⲉⲃⲟⲗ ϫⲉ							conj.			because		
264		ⲛ ⲃⲟⲗ							adj. phr.			outer, external		
265		ⲛ ⲃⲟⲗ							adv.			outside, extant, in existence		
