Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲣ-ⲉⲓⲉⲣ-ⲃⲟⲟⲛⲉ									to become envious of (e, ⲉϫⲛ)
ⲣⲉϥⲉⲓⲉⲣ-ⲃⲟⲟⲛⲉ									enchanter, one who casts evil-eye
ⲙⲛⲧⲣⲉϥⲉⲓⲉⲣ-ⲃⲟⲟⲛⲉ									greed
ϫⲓ-ⲉⲓⲉⲣ-ⲃⲟⲟⲛⲉ									to receive the evil-eye
ⲃⲱⲱⲣⲉ				ⲃⲉⲉⲣⲉ-	ⲃⲟⲟⲣ=	ⲃⲟⲟⲣⲉ	vb. Tr.		to push, drive (ⲙⲙⲟ/); to repel (ⲛⲥⲁ); to prevail over, defeat (ⲙⲙⲟ/)
ⲃⲱⲱⲣⲉ				ⲃⲉⲉⲣⲉ-	ⲃⲟⲟⲣ=	ⲃⲟⲟⲣⲉ	vb. Intr.		(+ ⲉⲃⲟⲗ) to swell up, protrude
ⲡ.ⲃⲱⲱⲣⲉ				ⲃⲉⲉⲣⲉ-	ⲃⲟⲟⲣ=		n. m.		protuberance
ⲃⲱⲧⲉ	ϥⲱⲧⲉ ϥⲱϭⲉ, ⲃⲟⲧ- ⲃⲟⲟⲧ-			ⲃⲉⲧ-		ⲃⲏⲧ	vb. tr.		to pollute (ⲙⲙⲟ/), befoul; to abominate
ⲃⲟⲧⲉ							n. f. (m.)		abomination
ⲣ-ⲃⲟⲧⲉ						ⲟ ⲛ ⲃⲟⲧⲉ			to become hateful
ϫⲓ-ⲃⲟⲧⲉ									to loathe, abominate €
ⲃⲱϣ	(ⲃⲁϣ=)			ⲃⲉϣ-	ⲃⲟϣ=	ⲃⲏϣ	vb. Tr.		to strip, divest, flay (ⲙⲙⲟ/); to lay bare, unsheathe; to loosen, unfasten, undo, release; to despoil; to forsake
ⲃⲱϣ	(ⲃⲁϣ=)			ⲃⲉϣ-	ⲃⲟϣ=	ⲃⲏϣ	vb. Intr.		to be undone, loosened; Q to be naked
ⲣⲉϥⲃⲱϣ									robber, despoiler
(ⲃⲱϩ)	(ⲡⲉϩ-)			ⲃⲉϩ-		ⲃⲏϩ	vb. Tr.		to bow (the head)
(ⲃⲱϩⲛ)				ⲃⲉϩⲛ-		ⲃⲁϩⲛ	vb. Tr.		to roof over (ⲙⲙⲟ/), cover with awning
ⲡ.ⲃⲱϩⲛ	ⲃⲁϩⲛ						n. m.		canopy, awning
ⲉ					(ⲉⲣⲟ=)		prep.		(1) reference: to, for, as regards, in respect to; (2) purpose: for, as; + Inf. In order to; (3) direction: to, toward, into; (4) hostility: at, against; (5) debt: against, due from; (6) ethical dative with many verbal expressions (cf. §30.6); (7) comparison: than (cf. §29.3); (8) temporal: at, in; (9) other meanings in combination with individual verbs, e.g. direct object, instrument, separation
ⲉⲃⲏ							n.	only in =r-eby - to grow dark	darkness
ⲣ-ⲉⲃⲏ									to grow dark
ⲉⲃⲓⲏⲛ							adj.		poor, wretched
ⲙⲛⲧⲉⲃⲓⲏⲛ									misery, wretchedness
ⲣ-ⲉⲃⲓⲏⲛ									to become wretched
ⲡ.ⲉⲃⲓⲱ				(ⲉⲃⲓⲉ-)			n. m.		honey
ⲉⲃⲓⲱ ⲙ ⲙⲉ									pure honey
ⲉⲃⲓⲉ-ϩⲟⲟⲩⲧ									wild honey
ⲙⲁ ⲛ ⲉⲃⲓⲱ									honey grove
ⲡ.ⲉⲃⲟⲧ			ⲉⲃⲁⲧⲉ, ⲉⲃⲉⲧⲉ				n. m.	may be followed directly by month name without =n	month
ϩⲣ-ⲉⲃⲟⲧ									every month
ⲡ.ⲉⲃⲣⲁ	ⲃⲣⲁ (ⲃⲣⲉ-, ⲃⲣⲓ-)		ⲉⲃⲣⲏⲩⲉ, ⲃⲣⲏⲩⲉ, ⲃⲣⲏⲩⲉ, ⲃⲣⲏⲏⲩⲉ				n. m.		seed
ⲧ.ⲉⲃⲣⲁ-ⲥⲱϣⲉ							n. f.		seed-grain
ⲧ.ⲉⲃⲣⲏϭⲉ	ⲃⲃⲣⲏϭⲉ, ⲉϥⲣⲏϭⲉ, ⲃⲣⲏϭⲉ						n. f.		lightning
ϯ-ⲉⲃⲣⲏϭⲉ									to lightning
ⲧ.ⲉⲕⲓⲃⲉ	ⲕⲓⲃⲉ, ⲕⲓⲉⲃⲉ						n. f.		breast
ⲡⲉⲣⲕⲓⲃⲉ							n. f. m.		breast
ϯ-ⲉⲕⲓⲃⲉ									to suckle
ϫⲓ-ⲉⲕⲓⲃⲉ									to be suckled
ⲡ.ⲉⲗⲕⲱ	ⲉⲗⲕⲟ						n. m.		fruit of sycamore
ⲡ.ⲉⲗⲟⲟⲗⲉ	(ⲉⲗⲉⲗ-, ⲗⲉⲗ-, ⲗⲉⲉⲗ-, ⲗⲓⲗ-)						n. m.		(1) grape, grape-vine
ⲉⲗⲉⲗ-ϩⲙϫ									sour grapes
ⲉⲗⲉⲗ-ϣⲟⲟⲩⲉ									dried grapes, raisins
ⲃⲱ ⲛ ⲉⲗⲟⲟⲗⲉ									grabe-vine
ⲙⲁ ⲛ ⲉⲗⲟⲟⲗⲉ									vineyard
ⲉⲓⲉϩ-ⲉⲗⲟⲟⲗⲉ									vineyard
ⲡ.ⲉⲗⲉⲗ-ⲕⲏⲙⲉ							n. m.		bruise
ⲧ.ⲉⲗⲟⲟⲗⲉ	(ⲉⲗⲉⲗ-, ⲗⲉⲗ-, ⲗⲉⲉⲗ-, ⲗⲓⲗ-)						n. f.		tonsil (?); pupil of eye (but cf. alooue)
ⲡ.ⲉⲗϭⲱⲃ							n. m.		heron
ⲧ.ⲉⲙⲉ							n. f.		hoe, plow
ⲧ.ⲉⲙⲏⲣⲉ							n. f.		inundation (of the Nile)
ⲡ.ⲁⲙⲏϣ							n. m.		anvil
ⲡ.ⲉⲙⲓⲥⲉ							n. m.		dill, anise
ⲡ.ⲉⲙⲛⲧ	ⲉⲓⲙⲛⲧ, ⲉⲙⲛⲧⲉ						n. m.		the west
ⲧ.ⲉⲙⲟⲩ	ⲁⲙⲟⲩ		ⲉⲙⲟⲟⲩⲉ				n. f.		cat
ⲉⲛⲉ	ⲛⲉ, ⲉⲛ						interrog. Part.		see §29.1.
ⲉⲛⲉ							conditional part.		if; see §29.1.
ⲡ.ⲉⲛⲉϩ	ⲉⲛⲉϩⲉ, ⲉⲛⲏϩⲉ						n. m.		eternity, age, era
ⲉⲛⲉϩ	ⲉⲛⲉϩⲉ, ⲉⲛⲏϩⲉ						adj. 		eternal
ⲉⲛⲉϩ	ⲉⲛⲉϩⲉ, ⲉⲛⲏϩⲉ						adv.		forever (with neg.: never)
ϣⲁ ⲉⲛⲉϩ							adv.		forever (with neg.: never); eternity
ϣⲁ ⲉⲛⲉϩ							adj.	(=n sa eneh> =n=n sa eneh)	eternal
ϣⲁ ⲛⲓⲉⲛⲉϩ							adv.		forever
ϣⲁ ⲉⲛⲉϩ ⲛ ⲟⲩⲟⲉⲓϣ									forever
ϫⲓⲛ ⲉⲛⲉϩ									from of old
ⲉⲛϩ	ⲛϩ						n. 		eyebrow
ⲡ.ⲙϫⲛϩ	ⲉⲙϫⲛϩ						n. m.		eyebrow
ⲡ.ⲉⲟⲟⲩ							n. m.		glory, honor
ϩⲁ ⲉⲟⲟⲩ							adj. phr.		honorable, glorious
ϯ-ⲉⲉⲟⲩ									to glorify, give honor to (ⲛⲁ/)
ⲡ.ϯ-ⲉⲉⲟⲩ							n. m.		glorifying
ⲙⲛⲧⲣⲉϥϯ-ⲉⲟⲟⲩ									glorification
ϫⲓ-ⲉⲟⲟⲩ									to be glorified
ⲙⲁⲓ-ⲉⲟⲟⲩ									desirous of glory
ⲉⲡⲏⲡ	ⲉⲡⲉⲓⲡ, ⲉⲡⲏⲫ								name of the 11th Coptic month
ⲉⲡⲣⲁ							n. pl.		vanities
ⲉⲡⲣⲁ							adj.		vain
ⲉⲡⲣⲁ							adv.		in vain
ⲙⲛⲧ-ⲉⲡⲣⲁ									vanity
ⲧ.ⲉⲡⲱ							n. f.		part of door fastening
ⲉⲣⲏⲧ	(ⲣⲏⲧ, ⲉⲣⲣⲏⲧ, ⲣⲣⲏⲧ)						vb. Tr.		to vow, promise, devote (ⲙⲙⲟ/; to : ⲛⲁ/, e)
ⲡ.ⲉⲣⲏⲧ	(ⲣⲏⲧ, ⲉⲣⲣⲏⲧ, ⲣⲣⲏⲧ)		ⲉⲣⲁⲧⲉ				n. m.		vow, promise
ⲉⲣⲏⲩ							n. m. f.		fellow, companion
ⲉⲣⲏⲩ							recipr. Pron.	usu. With possessive prefixes, see 28.4.	each other, mutually
ⲉⲣⲱⲧⲉ							n. m. f.		milk
ⲣ-ⲉⲣⲱⲧⲉ									to give milk
ϯ-ⲉⲣⲱⲧⲉ ⲛⲁ_									to suckle
ⲟⲩⲉⲙ-ⲉⲣⲱⲧⲉ									to feed on milk
ϩⲁ ⲡⲉⲣⲱⲧⲉ									still sucking, not weaned
ⲡ.ⲉⲥⲏⲧ							n. m.		ground, bottom, lower part
ⲉⲡⲉⲥⲏⲧ							adv.		down, downard, to the ground
ⲉⲡⲉⲥⲏⲧ ⲉ							prep.		down to, down into
ⲙ ⲡⲉⲥⲏⲧ							adv.		below, down below, at the bottom of (ⲙⲙⲟ/)
ⲥⲁ-ⲡⲉⲥⲏⲧ							adv.		on the lower side, below
ⲥⲁ-ⲡⲉⲥⲏⲧ							prep.		on the lower side, below (+ ⲛ)
ϩⲁ ⲡⲉⲥⲏⲧ							adv.		underneath, below ground
ϩⲁ ⲡⲉⲥⲏⲧ							prep.		under (+ ⲛ)
ϩⲓ ⲡⲉⲥⲏⲧ							adv.		on the ground, from on the ground
ϫⲓⲛ ⲡⲉⲥⲏⲧ							adv.		from below
ⲣ-ⲡⲉⲥⲏⲧ									to go under (ⲛ)
ⲉⲥⲟⲟⲩ		ⲉⲥⲱ					n. m. 		sheep
ⲙⲁⲛ-ⲉⲥⲟⲟⲩ									shepherd
ⲉⲧ	ⲉⲧⲉ						rel. pron.		see Gr. In.
ⲉⲧⲃⲉ	(ⲉⲧⲃⲏⲏⲧ=)						prep.		because of, on account of; concerning, about; for the sake of
ⲉⲧⲃⲉ ϫⲉ							conj.		because
ⲉⲧⲃⲉ ⲡⲁⲓ							adv.		therefore
ⲉⲧⲃⲉ ⲟⲩ							adv.		why?
ⲡ.ⲉⲧⲟϩ	ⲉⲧⲁϩ						n. m.		garment or length of cloth
ⲧ.ⲉⲩⲱ	ⲉⲟⲩⲱ, ⲟⲩⲱ						n. f.		pledge, surety
ϯ ⲙⲙⲟ_ ⲛ ⲉⲩⲱ									to give as a pledge
ⲟⲩⲱϩ ⲙⲙⲟ_ ⲛ ⲉⲩⲱ									to deposit as a pledge
ⲕⲱ ⲙⲙⲟ_ ⲛ ⲉⲩⲱ									to deposit as a pledge
ϫⲓ ⲙⲙⲟ_ ⲛ ⲉⲩⲱ									to take as a pledge
ⲉϣⲱ	ⲉϣⲟ, ϣⲟⲩ, ⲉϣⲟⲩ		ⲉϣⲁⲩ, ϣⲁⲩ				n. f. 		sow
ⲉϣϫⲉ	ⲉϣϫⲡⲉ						conj.		(1) if (§29.1.); (2) as if, as it were
ⲉϣϫⲉ	ⲉϣϫⲡⲉ						exclam.		how!
ⲉϣϫⲉ	ⲉϣϫⲡⲉ						adv.		surely, indeed
ⲉϣϫⲉ	ⲉϣϫⲡⲉ							before apodosis	then
ⲉϩⲉ	ϩⲉ, ⲁϩⲉ, ⲁϩⲁ						part.	also used to introduce questions	yes; indeed, verily
ⲉϣϫⲉ_ⲉϣⲱⲡⲉ ⲉϩⲉ									if indeed, if so
ⲉϩⲉ			ⲉϩⲟⲟⲩ, ⲉϩⲏⲩ, ⲉϩⲉⲩ				n. f. m.		ox, cow
ⲧ.ⲉϫⲱ	ⲁϫⲱ						n. f.		tongs, pincers
ⲡ.ⲉϭⲱϣ		ⲉϭⲟⲟϣⲉ, ⲉϭⲟϣⲉ	ⲉϭⲟⲟϣ, ⲉϭⲟⲟϣⲉ, ⲉϭⲱϣⲉ, ⲉϭⲁⲁϣ				n. m.		a Nubian, Cushite, Ethiopian
ⲡ.ⲏⲓ							n. m.		house; household, family
ⲙⲉⲥ ϩⲛ ⲏⲓ									one born in household
ⲡ.ⲣⲙⲛⲏⲓ	ⲣⲉⲙⲛⲏⲓ						n. m.		(1) member of household, kinsman; (2) monastic superintendent
ⲣ-ⲣⲙⲛⲏⲓ									to be akin
ⲡ.ⲏⲓ							n. m.		pair, couple
ⲡ.ⲏⲛ							n. m.		ape
ⲡ.ⲏⲣⲡ	(ⲉⲣⲡ-, ⲣⲡ-)						n. m.		wine
ⲏⲣⲡ ⲁⲥ	ⲉⲣⲡ-ⲁⲥ								old wine
ⲥⲁⲩ-ⲏⲣⲡ	ⲥⲉ-ⲏⲣⲡ								wine-drinker
ⲣ-ⲏⲣⲡ									to become wine
ⲏⲣϫ							n. m. f.		small bird, chick
ⲡ.ⲏϭⲉ							n. m.		leek
ⲥⲁ ⲛ ⲏϭⲉ									leek-seller
ⲉⲓ						ⲛⲏⲩ	vb. Intr.	imptv. Amou (q. v.); Used with full range of prep. And directional adv. In normal senses.	to come, go; to be about to (+ Circum.); to … gradually (+ ⲛ + Inf.)
ⲉⲓ ⲉⲣⲁⲧ_									to come to a superior
ⲉⲓ ⲉⲧⲛ									to come into the power of
ⲉⲓ ⲉϫⲛ									to be applicable to
ⲉⲓ ⲛⲥⲁ									to come to fetch
ⲉⲓ ⲉⲃⲟⲗ ⲉ									to sue
ⲉⲓ ⲉⲃⲟⲗ ϩⲓⲧⲛ									to leave, to quit (a place)
ⲉⲓ ⲉϩⲣⲁⲓ ⲉϫⲛ									to befall
ⲡ.ⲉⲓⲁ	ⲓⲁ						n. m.		valley, ravine
ⲉⲓⲁ	(ⲉⲓⲉⲣ-, ⲉⲓⲁⲧ=, ⲉⲓⲁⲁⲧ=)						n. 		eye, mostly in cpds.
ⲕⲧⲉ-ⲉⲓⲁⲧ_									to look around
ⲙⲉϩ-ⲉⲓⲁⲧ_	ⲙⲟⲩϩ ⲛ ⲉⲓⲁⲧ=								to stare, to look intently at (at: ⲙⲙⲟ/)
ⲥⲙⲛ-ⲉⲓⲁⲧ_ ⲉϫⲛ									to fix eye on
ⲧⲥⲁⲃⲉ-ⲉⲓⲁⲧ_	ⲧⲥⲃⲃⲉ-ⲉⲓⲁⲧ=, ⲧⲥⲁⲃⲟ ⲛ ⲉⲓⲁⲧ= ⲉⲃⲟⲗ								to instruct, inform
ⲧⲟⲩⲛ-ⲉⲓⲁⲧ_, ⲧⲟⲩⲛⲉ-ⲉⲓⲁⲧ_ ⲉⲃⲟⲗ									to instruct, inform
ϥⲓ-ⲉⲓⲁⲧ_ ⲉϩⲣⲁⲓ									to raise eye
ϩⲁ ⲉⲓⲁⲧ_									before one's eyes
ⲕⲱ ϩⲁ ⲉⲓⲁⲧ_									to intend to do
ⲛⲁⲓⲁⲧ_							exclam. Pred.		blessed is/are …!
ⲙⲛⲧⲛⲁⲓⲁⲧ_									blessedness
ⲡ.ⲉⲓⲁⲁⲩ	ⲉⲓⲱ, ⲓⲱ						n. m.		linen, linen garment
ⲛⲉⲓⲁⲁⲩ	ⲛⲓⲁⲁⲩ, ⲛⲁⲁⲩ								linen, linen garment
ⲧ.ⲉⲓⲁⲃⲉ	ⲉⲓⲁⲁⲃⲉ, ⲓⲁⲁⲃⲉ, ⲓⲁⲓⲃⲉ						n. f.		pus
ⲧ.ⲉⲓⲁⲗ	ⲓⲁⲗ, ⲓⲏⲗ						n. f.		mirror
ⲡ.ⲉⲓⲃ	ⲉⲓⲉⲓⲃ, ⲉⲓⲉⲃ		ⲉⲓⲉⲃⲏ				n. m.		hoof; claw; stinger; nail, talon
ⲉⲓⲃⲉ						ⲟⲃⲉ	vb. Intr.		to thirst, become thirsty (for: ⲙⲙⲟ/)
ⲡ.ⲉⲓⲃⲉ							n. m.		thirst
ⲉⲓⲉ	ⲉⲉⲓⲉ, ⲉⲓ						conj.		(1) introducing apodosis: then (§29.1.); before neg.: unless, without; (2) or
ⲉⲓⲉ … ⲏ							conj.		either … or
ⲉⲓⲉ	ⲉⲉⲓⲉ, ⲉⲓ						modal or interrog. Part.	introducing statement; translation depends on context	well then, so
ⲡ.ⲉⲓⲉⲃⲧ	ⲉⲉⲓⲃⲧ, ⲉⲓⲃⲧ, ⲉⲓⲏⲃⲧ, ⲓⲏϥⲧ, ⲉⲉⲃⲧ						n. m.	usu. With def. art.	the east
ⲥⲁ-ⲡⲉⲓⲉⲃⲧ									on the east side (of: ⲛ)
ⲉⲓⲉⲗⲉⲗ	ⲉⲓⲉⲗⲉⲓⲉⲗ						vb. Intr.		to shine, glitter
ⲡ.ⲉⲓⲉⲗⲉⲗ	ⲉⲓⲉⲗⲉⲓⲉⲗ						n. m.		brightness
ⲓⲉⲗⲗⲉ							n.		brightness, light
ⲉⲓⲙⲉ	ⲉⲓⲙⲙⲉ						vb. Tr.		to know, understand, realize (e; that: je)
ⲁⲧⲉⲓⲙⲉ									ignorant; innocent, unaware
ⲣ-ⲁⲧⲉⲓⲙⲉ						ⲟ ⲛ ⲁⲧⲉⲓⲙⲉ			to become ignorant, unaware; to be unconscious
ⲙⲛⲧⲁⲧⲉⲓⲙⲉ									ignorance
ϭⲓⲛⲉⲓⲙⲉ									knowledge
ⲛⲁϣⲧ-ⲉⲓⲙⲉ	ⲛⲁϣⲧⲙⲙⲉ, ⲛⲁϣⲧⲓⲙⲙⲉ						adj.		presumptuous, impudent; obdurate, stubborn
ⲙⲛⲧⲛⲁϣⲧⲙⲙⲉ									stubbornness, presumptuousness
ⲉⲓⲛⲉ ⲛ- (ⲙ-, ⲉⲛ-)  ⲛⲧ_							vb. Tr.	(Imptv. ⲁⲛⲓⲛⲉ, ⲁⲛⲉⲓⲛⲉ, ⲁⲛⲓ- ⲁⲛⲓ/) Used with many prep. And directional adv. In ordinary senses.	to bring (ⲙⲙⲟ/), bear
ⲉⲓⲛⲉ ⲙⲙⲟ_ ⲉϫⲛ									to liken something to, compare with
ⲉϩⲣⲁⲓ ⲉϫⲛ									to liken something to, compare with
ⲛ-ⲧⲟⲟⲧ_ ⲉϫⲛ									to seize
ⲉⲓⲛⲉ ⲙⲙⲟ_ ⲛⲥⲁ									to bring an accusation against
ⲉⲓⲛⲉ ⲙⲙⲟ_ ⲉⲃⲟⲗ									to complete; to extradite; to publish; to introduce
ⲉⲓⲛⲉ ⲙⲙⲟ_ ⲉ ⲧⲙⲏⲧⲉ									to recall, bring up (in one's mind)
ⲉⲓⲛⲉ ⲙⲙⲟ_ ⲉϩⲟⲩⲛ									introduce
ⲡ.ⲉⲓⲛⲉ ⲙⲙⲟ_ ⲉϩⲟⲩⲛ							n. m.		reception
ⲉⲓⲛⲉ							vb. Tr.		to resemble, be like (ⲙⲙⲟ/)
ⲡ.ⲉⲓⲛⲉ							n. m.		likeness, aspect
ⲙⲛⲧⲣⲉϥⲉⲓⲛⲉ									resemblance
ⲧ.ⲉⲓⲛⲉ							n. f.		adze
ⲉⲓⲛⲉ	ⲓⲛⲉ						n. f. 		thumb; big toe
ⲡ.ⲉⲓⲛⲉ							n. m.		chain
ⲡ.ⲉⲓⲟⲙ	ⲓⲟⲙ						n. m.		(1) sea (rare in Sah.); (2) winepress
ⲡ.ⲉⲓⲟⲟⲣ	ⲉⲓⲟⲟⲣⲉ						n. m.		canal
ϫⲓⲟⲟⲣ							vb. Tr.		to ferry (ⲙⲙⲟ/) across (to: ⲉ); to cross, ford (a river: ⲙⲙⲟ/)
ϭⲓⲛ-ϫⲓⲟⲟⲣ									fording, transit
ⲡ.ϫⲓⲟⲟⲣ							n. m.		a ford, crossing; ferryboat; ferryman
ⲡ.ⲉⲓⲉⲣⲟ, ⲓⲉⲣⲟ			ⲉⲓⲉⲣⲱⲟⲩ, ⲓⲉⲣⲱⲟⲩ				n. m.		river; often spec. the Nile
ⲉⲓⲟⲟⲩⲛ	ⲓⲟⲟⲩⲛ	ⲓⲟⲟⲩⲛⲉ					m. f.		a title: meaning unknown
ⲧ.ⲉⲓⲟⲡⲉ							n. f.		a liquid measure
ⲧ.ⲉⲓⲟⲡⲉ	ⲓⲟⲡⲉ (ⲉⲓⲉⲡ-)						n. f.	Freq. cpd. With 2nd element to designate particular craft or its product	craft, occupation
ⲉⲓⲉⲡ-ⲥⲁ									sculpture, work in relief
ⲉⲓⲉⲡ-ⲟⲩⲟⲉⲓⲉ									tillage, tilled land, produce of tillage
ⲉⲓⲉⲡ-ϣⲉ									woodwork
ⲉⲓⲉⲡ-ⲛⲟⲩⲃ									goldwork
ⲉⲓⲉⲡ-ⲛ-ϩⲁⲧ									silverwork
ⲉⲓⲉⲡ-ϣⲱⲧ									trade, trading, merchandise
ⲣ-ⲉⲓⲉⲡ-ϣⲱⲧ									to engage in trade
ϩⲁⲣ-ⲉⲓⲟⲡⲉ							adj.		variegated
ⲣ-ⲉⲓⲟⲡⲉ									to spin
ⲣⲉϥⲣ-ⲉⲓⲟⲡⲉ									craftsman
ⲙⲛⲧⲣⲉϥⲣ-ⲉⲓⲟⲡⲉ									craft
ⲉⲓⲟⲩⲗ	ⲉⲉⲓⲟⲩⲗ, ⲉⲓⲉⲟⲩⲗ, ⲓⲟⲩⲗ						n. m. f.		hart, hind (deer)
ⲉⲓⲣⲉ ⲣ-				(ⲉⲣ-)	ⲁⲁ=	ⲟ	vb. Tr.		to do, make, perform, produce, fashion (ⲙⲙⲟ/)
ⲉⲓⲣⲉ ⲣ-				(ⲉⲣ-)	ⲁⲁ=	ⲟ	vb. Intr.	For eire in cpd. Vbs. See §26.1; these are listed under 2nd element.	to act, function, behave
ⲡ.ⲉⲓⲣⲉ ⲣ-				(ⲉⲣ-)	ⲁⲁ=		n. m.		doing, performance
ⲣⲉϥⲉⲓⲣⲉ									doer, maker
ⲧⲁϣⲉ-ⲉⲓⲣⲉ									to do or make even more, increase in doing
ⲉⲓⲥ	ⲉⲥ						part.	properly only before nouns	behold, lo; here is/are … 
ⲉⲓⲥ ϩⲏⲏⲧⲉ	ⲉⲓⲥ ϩⲏⲧⲉ, ⲉⲓⲥ ϩⲉⲉⲡⲉ						part.	before pron. Or verb.	behold, lo; here is/are … 
ⲉⲓⲥ ϩⲏⲏⲧⲉ ⲉⲓⲥ							part.	before n.	behold, lo; here is/are … 
ⲉⲓⲥ ϩⲏⲏⲛⲉ							part.	before n. or pron.	behold, lo; here is/are … 
ⲉⲓⲥⲧⲉ									= eic hyyte
ⲉⲓⲥⲡⲉ									= eic hyype
ⲡ.ⲉⲓⲧⲛ	ⲓⲧⲛ, ⲓⲧⲛⲉ, ⲧⲛⲏ						n. m.		ground, earth, dust; dirt, rubbish
ⲉ ⲡⲉⲓⲧⲛ									=ⲉⲡⲉⲥⲏⲧ
ⲙ ⲡⲉⲓⲧⲛ							adv.		below, underneath, at the bottom
ⲉⲓⲱ	ⲉⲓⲁ- (ⲓⲁ-) ⲉⲓⲁⲁ=					ⲉⲓⲏ (+/- ⲉⲃⲟⲗ)	vb. Tr.		to wash (ⲙⲙⲟ/)
ⲡ.ⲉⲓⲱ ⲉⲃⲟⲗ							n. m.		washing
ⲣⲉϥⲉⲓⲱ ⲉⲃⲟⲗ									washer (in bath)
ⲉⲓⲁ-ⲧⲟⲟⲧ_ ⲛⲥⲁ								suff. Is reflex.	to renounce, despair of 
ⲉⲓⲱ	ⲉⲉⲓⲱ, ⲉⲓⲟⲩ, ⲉⲟⲩ		ⲉⲟⲟⲩ, ⲉⲱⲟⲩ, ⲉⲟⲟⲩⲉ				n. m. f.		ass, donkey
ⲉⲓⲁ-ⲛ-ⲧⲟⲟⲩ									wild ass, onager
ⲉⲓⲁ-ϩⲟⲟⲩⲧ									wild ass, onager
ⲉⲓⲱⲣⲙ	ⲓⲱⲣⲙ					ⲉⲓⲟⲣⲙ (+/- ⲉⲃⲟⲗ, ⲉϩⲣⲁⲓ)	vb. Intr.		to stare (at: ⲉ, ⲛⲥⲁ), stare in wonder, be astonished, dumbfounded
ⲉⲓⲱⲣϩ	ⲉⲓⲱⲣⲁϩ, ⲓⲱⲣϩ  ϩⲓⲁⲣϩ-  ⲓⲟⲣϩ=			ⲉⲓⲉⲣϩ-	ⲉⲓⲟⲣϩ=		vb. Tr.		to see, perceive (ⲙⲙⲟ/); to look (toward: ⲛⲥⲁ)
ⲡ.ⲉⲓⲱⲣϩ	ⲉⲓⲱⲣⲁϩ, ⲓⲱⲣϩ  ϩⲓⲁⲣϩ-  ⲓⲟⲣϩ=			ⲉⲓⲉⲣϩ-	ⲉⲓⲟⲣϩ=		n. m.		sight, vision; view, opinion
ⲣⲉϥⲉⲓⲱϩⲣ									one who can see
ⲙⲛⲧⲣⲉϥⲉⲓⲱⲣϩ									perception
ϭⲓⲛⲉⲓⲱⲣϩ									vision, power to see
ⲧ.ⲉⲓⲉⲣϩⲉ							n. f.		ray (of light), sight (of eye)
ⲡ.ⲉⲓⲱⲧ	ⲓⲱⲧ (ⲉⲓⲧ-)		ⲉⲓⲟⲧⲉ				n. m.		father (lit. and fig.); pl. parents, forefathers. Often used of abbots, elders and other revered persons.
ⲁⲧⲉⲓⲱⲧ									fatherless
ⲣ-ⲉⲓⲱⲧ									to become fater
ⲙⲛⲧⲉⲓⲱⲧ									fatherhood, family
ϣⲛ-ⲉⲓⲱⲧ									relative on father's side
ⲡ.ⲉⲓⲱⲧ							n. m.		barley
ⲧ.ⲉⲓⲱⲧⲉ							n. f.		dew
ⲡ.ⲉⲓⲱϩⲉ	ⲓⲱϩⲉ (ⲉⲓⲉϩ-, ⲉⲓⲱϩ)		ⲉⲓⲁϩⲟⲩ, ⲉⲓⲁϩⲟⲩⲉ				n. m.		field
ⲧ.ⲥⲧ-ⲉⲓⲱϩⲉ	ⲥⲧⲱϩⲉ						n. f.		a field measure
ϣⲓ-ⲉⲓⲱϩⲉ									to measure a field
ⲡ.ϣⲓ-ⲉⲓⲱϩⲉ							n. m.		a field measure
ⲉⲓϣⲉ	ⲁϣⲧ-  ⲁϣ=			ⲉϣⲧ-	ⲁϣⲧ=	ⲁϣⲉ	vb. Tr.		to hang, suspend (ⲙⲙⲟ/; on: ⲉ; by: ⲛⲥⲁ), all +/- ⲉϩⲣⲁⲓ. Q to be suspended; to be captivated (by: ⲛⲥⲁ); to depend (on: ϩⲛ); + ⲉⲃⲟⲗ: to overhang
ⲧ.ⲕⲁⲓⲣⲉ							n. f.		gullet
ⲡ.ⲕⲁⲕⲉ							n. m.		darkness
ⲣ-ⲕⲁⲕⲉ									to become dark
ⲧ.ⲕⲁⲗⲁϩⲏ							n. f.		womb; belly
ⲧ.ⲕⲁⲗⲉⲗⲉ	ⲕⲁⲗⲉⲉⲗⲉ, ⲕⲁⲗⲏⲗⲉ, ⲕⲉⲗⲉⲉⲗⲉ						n. f.		wooden sounding board struck to assemble congregation
ⲡ.ⲕⲁⲗⲕⲓⲗ	ⲕⲁⲗⲕⲉⲗ, ⲕⲉⲗⲕⲓⲗ, ϭⲉⲗϭⲓⲗ, ϭⲉⲓⲗϭⲉⲓⲗ						n. m.		wheel
ⲕⲁⲗⲱⲡⲟⲩ	ⲕⲁⲗⲟⲡⲟⲩ, ϭⲁⲗⲟⲡⲟⲩ						n. m. f.		small dog
ⲡ.ⲕⲁⲙ							n. m.		reed, rush
ⲡ.ⲕⲁⲡ							n. m.		(1) thread, string, strand; (2) letter (alph.)
ⲕⲁⲣⲟⲩⲥ							adj.		curled (of hair); meaning not certain
