Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲡ.ⲁϩⲱⲙ	ⲁϩⲱⲙⲉ, ⲁϩⲱⲱⲙⲉ						n. m.		eagle (originally: falcon)
ⲁϫⲉ	ⲁⲁϫⲉ (ⲟⲣ ⲟⲩⲁϫⲉ?)						n. 		blow, cuff
ⲁϫⲛ	ⲉϫⲛ ⲉϫⲛⲧ-						prep.	a foll. Indef. N. has no article	without
ⲧ.ⲁϭⲃⲉⲥ	ⲁⲧⲃⲉⲥ						n. f.		moisture
ⲁϭⲟⲗⲧⲉ	ⲁⲕⲟⲗⲧⲉ						n. f. 		wagon, cart
ⲁϭⲣⲏⲛ							n. f. 		a barren woman
ⲙⲛⲧⲁϭⲣⲏⲛ									barrenness
ⲣ-ⲁϭⲣⲏⲛ									to become barren
ⲡ.ⲃⲁ	ⲃⲁⲉ, ⲃⲁⲉⲓ, ⲃⲟⲓ						n. m.		branch of date-palm
ⲃⲁⲁⲃⲉ	(ⲃⲁⲃⲱⲱ-)			ⲃⲁⲃⲱ-		ⲃⲁⲃⲟⲧ (ⲃⲁⲃⲱ)	vb. Tr.		to despise (ⲙⲙⲟ-), regard as foolish
ⲃⲁⲁⲃⲉ	(ⲃⲁⲃⲱⲱ-)			ⲃⲁⲃⲱ-		ⲃⲁⲃⲟⲧ (ⲃⲁⲃⲱ)	vb. Intr.		to be insipid, foolish
ⲡ.ⲃⲁ(ⲁ)ⲃⲉ-ⲣⲱⲙⲉ							n. m.		boaster
ⲙⲛⲧⲃⲁⲁⲃⲉ-ⲣⲱⲙⲉ									boastfulness
ⲃⲁⲁⲙⲡⲉ	ⲃⲁⲙⲡⲉ						n. 		goat
ⲃⲁⲁⲙⲡⲉ ⲛ ϩⲟⲟⲩⲧ									he-goat
ⲃⲁⲁⲙⲡⲉ ⲛ ⲥϩⲓⲙⲉ									she-goat
ϣⲁⲁⲣ ⲛ ⲃⲁⲁⲙⲡⲉ									goatskin
ϥⲱ ⲛ ⲃⲁⲁⲙⲡⲉ									goat's hair
ⲙⲁⲛⲉ-ⲃⲁⲁⲙⲡⲉ									goatherd
ⲡ.ⲃⲁⲓ	ϥⲁⲓ						n. m.		night raven, screech-owl
ⲡ.ⲃⲁⲗ							n. m.		eye
ⲁⲧⲃⲁⲗ									shameless
ⲙⲛⲧⲁⲧⲃⲁⲗ									shamelessness
ⲧ.ⲃⲁⲗⲟⲧ							n. f.		skin garment; skin bag
ⲡ.ⲃⲁⲣⲱⲧ	ⲃⲁⲣⲟⲧ, ⲃⲁⲗⲱⲧ, ⲃⲁⲣⲁⲧⲉ						n. m.		brass, bronze
ϩⲟⲙⲛⲧ (ⲛ) ⲃⲁⲣⲱⲧ									brass, bronze
ⲡ.ⲃⲁⲥⲛϭ	ⲃⲁⲥⲉⲛϭ, ⲃⲁⲥⲛⲏϭ, ⲃⲁⲥⲏϭ, ⲃⲁⲥⲓϭ, ⲃⲁⲥⲓⲛϭ						n. m.		tin
ⲧ.ⲃⲁϣⲟⲣ	ⲃⲁϣⲁⲣ, ⲃⲁϣⲁⲁⲣ, ⲃⲁϣⲟⲟⲣⲉ						n. f.		fox
ⲧ.ⲃⲁϣⲟⲩⲣ							n. f.		saw
ⲣⲁ ⲛ ⲃⲁϣⲟⲩ							adj.		saw-toothed
ⲡ.ⲃⲁϣⲟⲩϣ							n. m.		rue
ⲧ.ⲃⲁϩⲥⲉ							n. f.		heifer
ⲃⲥⲉⲃⲉ							vb. Tr.		to pour fourth, rain down (ⲙⲙⲟ-)
ⲃⲥⲉⲃⲉ							vb. Intr.		to well up, be poured forth
ⲃⲉⲕⲉ			ⲃⲉⲕⲏⲩⲉ, ⲃⲉⲕⲉⲉⲩⲉ, ⲃⲉⲕⲉⲩⲉ				n. m. 		wages
ϯ-ⲃⲉⲕⲉ, ϯ ⲙ ⲡⲃⲉⲕⲉ									to pay, reward
ⲧⲁⲓ-ⲃⲉⲕⲉ									employer
ⲣⲉϥϯ-ⲃⲉⲕⲉ									employer
ϫⲓ-ⲃⲉⲕⲉ, ϫⲓ ⲙ ⲡⲃⲉⲕⲉ									to receive wages
ϫⲓ ⲉ ⲃⲉⲕⲉ									to hire (ⲙⲙⲟ-)
ϫⲁⲓ-ⲃⲉⲕⲉ									hireling
ⲥⲙⲛ-ⲃⲉⲕⲉ									to fix wages
ⲣⲙⲃⲉⲕⲉ, ⲣⲙⲙⲃⲉⲕⲉ									hireling
ⲡ.ⲃⲉⲛⲓⲡⲉ	ⲃⲓⲛⲓⲃⲉ, ⲡⲉⲛⲓⲡⲉ, ⲃⲁⲛⲓⲡⲉ, ⲡⲁⲛⲓⲡ						n. m.		iron; also fig. of fetters, sword
ϯ-ⲃⲉⲛⲓⲡⲉ									to put in irons, to fetter (e)
ⲧ.ⲃⲉⲣⲱ							n. f.		whirlpool
ⲡ.ⲃⲉⲥⲛⲏⲧ	ⲃⲉⲥⲛⲁⲧ		ⲃⲉⲥⲛⲁⲧⲉ				n. m.		smith
ⲙⲛⲧⲃⲉⲥⲛⲏⲧ									the work or craft of a smith
ⲧ.ⲃⲏ							n. f.		grave
ⲡ.ⲃⲏⲃ	ⲃⲏⲃⲉ						n. m.		cave, hole, den, nest (of animals)
ⲡ.ⲃⲏⲕⲉ							n. m.		woof (of loom)
ⲧ.ⲃⲏⲛⲉ	ⲃⲏⲛⲛⲉ						n. f.		swallow (bird)
ϫⲁϫ-ⲃⲏⲛⲉ									swallow-sparrow
ⲧ.ⲃⲏⲥⲉ							n. f.		bucket, pail
ⲡ.ⲃⲏⲧ							n. m.		palm-leaf
ⲧ.ⲃⲏⲧ-ⲥⲡⲓⲣ							n. f.		rib
ⲡ.ⲃⲏϭ	ⲃⲉϭ, ⲃϭ						n. m.		falcon
ⲡ.ⲃⲓⲣ			ⲃⲣⲏⲟⲩⲉ				n. m.		basket (of palm-leaf)
ⲧ.ⲃⲓⲣⲉ	ⲃⲁⲓⲣⲉ						n. f.		basket (of palm-leaf)
ⲧ.ⲃⲗⲃⲓⲗⲉ							n. f.		a single grain (of grain, mustard, sand); a single piece (of fruit, etc.)
ⲃⲗⲗⲉ		ⲃⲗⲗⲏ	ⲃⲗⲗⲉⲉⲩ, ⲃⲗⲗⲉⲉⲩⲉ				adj.		blind
ⲃⲗⲗⲉ		ⲃⲗⲗⲏ	ⲃⲗⲗⲉⲉⲩ, ⲃⲗⲗⲉⲉⲩⲉ				n.		a blind person
ⲙⲛⲧⲃⲗⲗⲉ									blindness
ⲣ-ⲃⲗⲗⲉ						ⲟ ⲛ ⲃⲗⲗⲉ			to become blind, to make blind
ⲃⲗϩⲙⲟⲩ	ⲃⲗⲉϩⲙⲟⲩ, ⲃⲉⲗⲉϩⲙⲟⲟⲩⲉ, ⲃⲁⲗⲉϩⲙⲟⲩ		ⲃⲗϩⲙⲟⲟⲩⲉ						name of a people, usu. Located on east bank of Nile in Nubia.
ⲃⲗϫⲉ	ⲃⲗⲗϫⲉ						n. m. f.		pottery, earthenware
ⲣ-ⲃⲗϫⲉ									to be made of clay
ⲧ.ⲃⲛⲛⲉ							n. f.		date-palm, date(s)
ⲃⲛ-ⲣⲁⲩⲛⲉ									virgin palm
ⲃⲛ-ϣϣⲟⲩⲉ									dried dates
ⲃⲁ ⲛ ⲃⲛⲛⲉ									palm-branch
ⲃⲁⲗ ⲛ ⲃⲛⲛⲉ									date-stone
ⲉⲃⲓⲱ ⲛ ⲃⲛⲛⲉ									date-honey
ⲕⲁϥ ⲛ ⲃⲛⲛⲉ									stem, trunk of palm
ⲗⲟⲟⲩ ⲛ ⲃⲛⲛⲉ									cluster of dates
ⲥⲁ ⲛ ⲃⲛⲛⲉ									date-seller
ⲥⲣ-ⲃⲛⲛⲉ									date-palm thorn
ⲧⲁϭ ⲛ ⲃⲛⲛⲉ									date cake
ϣⲛ-ⲃⲛⲛⲉ	ϣⲉ-ⲃⲛⲛⲉ, ϣⲃ-ⲃⲛⲛⲉ, ⲥⲟⲩⲛ-ⲃⲛⲛⲉ								palm-fiber
ⲃⲟⲓⲛⲉ							n. 		harp or sim. musical instrument
ⲃⲟⲗⲃⲗ					ⲃⲗⲃⲱⲗ=		vb. tr.		to dig, dig up, dig out (ⲙⲙⲟ/); to burrow, delve
ⲃⲟⲗⲃⲗ					ⲃⲗⲃⲱⲗ=		vb. Intr.		to be undermined
ⲃⲟⲗⲃⲗ ⲉⲃⲟⲗ							vb. Tr.		to undo, take apart
ⲃⲟⲗⲃⲗ ⲉⲃⲟⲗ							intr.		to be dug up, out
ⲧ.ⲃⲟⲛⲧⲉ	ⲃⲁⲛⲧⲉ (ⲃⲛⲧ-)						n. f.		gourd, cucumber; gourd-garden (?)
ⲥⲁⲣⲃⲟⲛⲧⲉ									gourd-seller
ⲃⲛⲧ-ⲛ-ⲉϭⲗⲟϭ									pumpkin
ⲃⲟⲥⲧ							Q		to be dry, parched
ⲃⲟⲩⲃⲟⲩ							vb. Intr.		to shine, glitter
ⲡ.ⲃⲟⲩⲃⲟⲩ							n. m.		shine, glitter
ⲡ.ⲃⲟⲩϩⲉ	ⲃⲱϩⲉ						n. m.		eyelid
ⲃⲣⲃⲣ							vb. Intr.		to boil
ⲡ.ⲃⲣⲃⲣ							n. m.		boiling
ⲃⲣⲃⲣ ⲉϩⲣⲁⲓ ⲙⲙⲟ_									to boil up with, cast up
ⲡ.ⲃⲣⲉϣⲏⲩ	ⲃⲉⲣⲉϣⲏⲩ, ⲃⲣϣⲏⲩ						n. m.		coriander seed
ⲃⲣⲣⲉ	ⲃⲏⲣⲉ						adj.		new, young
ⲙⲛⲧⲃⲣⲣⲉ									youth, newness
ⲛ ⲃⲣⲣⲉ							adv.		anew, recently
ⲣ-ⲃⲣⲣⲉ									to renew; to become new
ⲧ.ⲃⲣϭⲟⲟⲩⲧ	ⲃⲉⲣⲉϭⲱⲟⲩⲧ						n. f.		chariot
ⲧ.ⲃⲱ							n. f.		tree (when fruit is specified; otherwise use syn)
ⲃⲱⲕ						ⲃⲏⲕ	vb. Intr.	Used with most prep. And directional adv. In regular senses	to go, depart; to die; to be about to (+ e + Inf.).
ⲃⲱⲕ ⲉⲣⲁⲧ_									to visit
ⲃⲱⲕ ϩⲓ									to undergo (as well as "to go upon")
ⲃⲱⲕⲉ							vb. Tr.		to tan (leather: ⲙⲙⲟ/)
ⲃⲁⲕ-ϣⲁⲁⲡ									tanner
ⲃⲱⲗ				ⲃⲉⲗ-	ⲃⲟⲗ=	ⲃⲏⲗ	vb. Tr.		(+/- ⲉⲃⲟⲗ except when indicated) to loosen, to untie, to unfasten (ⲙⲙⲟ/) (not + ⲉⲃⲟⲗ) to explain, interpret; to weaken, enfeeble; to nullify; to dissolve
